source,title,timedate,links
Nasional Kompas.com,Jokowi Tanda Tangani Pemberhentian Lili Pintauli sebagai Pimpinan KPK - Kompas.com,5 jam lalu,https://news.google.com/articles/CBMiemh0dHBzOi8vbmFzaW9uYWwua29tcGFzLmNvbS9yZWFkLzIwMjIvMDcvMTEvMTIxODQ3ODEvam9rb3dpLXRhbmRhLXRhbmdhbmktcGVtYmVyaGVudGlhbi1saWxpLXBpbnRhdWxpLXNlYmFnYWktcGltcGluYW4ta3Br0gF-aHR0cHM6Ly9hbXAua29tcGFzLmNvbS9uYXNpb25hbC9yZWFkLzIwMjIvMDcvMTEvMTIxODQ3ODEvam9rb3dpLXRhbmRhLXRhbmdhbmktcGVtYmVyaGVudGlhbi1saWxpLXBpbnRhdWxpLXNlYmFnYWktcGltcGluYW4ta3Br?hl=id&gl=ID&ceid=ID%3Aid
Tribunnews,"Lili Pintauli Siregar Mundur Sebagai Wakil Ketua KPK, Presiden Jokowi Teken Surat Pemberhentiannya",3 jam lalu,https://news.google.com/articles/CCAiCzJERU9hM1hTZWlBmAEB?hl=id&gl=ID&ceid=ID%3Aid
Nasional Kompas.com,[LIVE STREAMING] Putusan Sidang Etik Wakil Ketua KPK Lili Pintauli - Kompas.com,5 jam lalu,https://news.google.com/articles/CBMidWh0dHBzOi8vbmFzaW9uYWwua29tcGFzLmNvbS9yZWFkLzIwMjIvMDcvMTEvMTMwOTIyNjEvbGl2ZS1zdHJlYW1pbmctcHV0dXNhbi1zaWRhbmctZXRpay13YWtpbC1rZXR1YS1rcGstbGlsaS1waW50YXVsadIBeWh0dHBzOi8vYW1wLmtvbXBhcy5jb20vbmFzaW9uYWwvcmVhZC8yMDIyLzA3LzExLzEzMDkyMjYxL2xpdmUtc3RyZWFtaW5nLXB1dHVzYW4tc2lkYW5nLWV0aWstd2FraWwta2V0dWEta3BrLWxpbGktcGludGF1bGk?hl=id&gl=ID&ceid=ID%3Aid
detikNews,Lili Pintauli Resmi Ajukan Pengunduran Diri sebagai Wakil Ketua KPK!,5 jam lalu,https://news.google.com/articles/CBMia2h0dHBzOi8vbmV3cy5kZXRpay5jb20vYmVyaXRhL2QtNjE3MzA5Ni9saWxpLXBpbnRhdWxpLXJlc21pLWFqdWthbi1wZW5ndW5kdXJhbi1kaXJpLXNlYmFnYWktd2FraWwta2V0dWEta3Br0gFvaHR0cHM6Ly9uZXdzLmRldGlrLmNvbS9iZXJpdGEvZC02MTczMDk2L2xpbGktcGludGF1bGktcmVzbWktYWp1a2FuLXBlbmd1bmR1cmFuLWRpcmktc2ViYWdhaS13YWtpbC1rZXR1YS1rcGsvYW1w?hl=id&gl=ID&ceid=ID%3Aid
Nasional Tempo,Jokowi Resmi Teken Surat Pemberhentian Lili Pintauli Siregar,5 jam lalu,https://news.google.com/articles/CBMiY2h0dHBzOi8vbmFzaW9uYWwudGVtcG8uY28vcmVhZC8xNjEwODQzL2pva293aS1yZXNtaS10ZWtlbi1zdXJhdC1wZW1iZXJoZW50aWFuLWxpbGktcGludGF1bGktc2lyZWdhctIBYmh0dHBzOi8vbmFzaW9uYWwudGVtcG8uY28vYW1wLzE2MTA4NDMvam9rb3dpLXJlc21pLXRla2VuLXN1cmF0LXBlbWJlcmhlbnRpYW4tbGlsaS1waW50YXVsaS1zaXJlZ2Fy?hl=id&gl=ID&ceid=ID%3Aid
Nasional Tempo,"Bareskrim Periksa Dua Petinggi ACT Hari Ini, Selidiki Soal Dana Ahli Waris Korban Lion Air",9 jam lalu,https://news.google.com/articles/CBMigAFodHRwczovL25hc2lvbmFsLnRlbXBvLmNvL3JlYWQvMTYxMDc3MC9iYXJlc2tyaW0tcGVyaWtzYS1kdWEtcGV0aW5nZ2ktYWN0LWhhcmktaW5pLXNlbGlkaWtpLXNvYWwtZGFuYS1haGxpLXdhcmlzLWtvcmJhbi1saW9uLWFpctIBf2h0dHBzOi8vbmFzaW9uYWwudGVtcG8uY28vYW1wLzE2MTA3NzAvYmFyZXNrcmltLXBlcmlrc2EtZHVhLXBldGluZ2dpLWFjdC1oYXJpLWluaS1zZWxpZGlraS1zb2FsLWRhbmEtYWhsaS13YXJpcy1rb3JiYW4tbGlvbi1haXI?hl=id&gl=ID&ceid=ID%3Aid
KOMPASTV,ACT Diduga Salahgunakan Dana Kemanusiaan Korban Kecelakaan Lion Air JT-610,22 jam lalu,https://news.google.com/articles/CCAiCzIwRVR0TjhWQUVnmAEB?hl=id&gl=ID&ceid=ID%3Aid
Tribunnews,"Disebut Selewengkan Dana Bantuan Korban Kecelakaan Lion Air JT-610, Polisi Ungkap Hal Mengejutkan",23 jam lalu,https://news.google.com/articles/CCAiC2lpck5DZmstY3d3mAEB?hl=id&gl=ID&ceid=ID%3Aid
detikNews,Eks Presiden ACT Hadiri Panggilan Bareskrim soal Kasus Penyelewengan Dana,7 jam lalu,https://news.google.com/articles/CBMicWh0dHBzOi8vbmV3cy5kZXRpay5jb20vYmVyaXRhL2QtNjE3Mjk1NS9la3MtcHJlc2lkZW4tYWN0LWhhZGlyaS1wYW5nZ2lsYW4tYmFyZXNrcmltLXNvYWwta2FzdXMtcGVueWVsZXdlbmdhbi1kYW5h0gF1aHR0cHM6Ly9uZXdzLmRldGlrLmNvbS9iZXJpdGEvZC02MTcyOTU1L2Vrcy1wcmVzaWRlbi1hY3QtaGFkaXJpLXBhbmdnaWxhbi1iYXJlc2tyaW0tc29hbC1rYXN1cy1wZW55ZWxld2VuZ2FuLWRhbmEvYW1w?hl=id&gl=ID&ceid=ID%3Aid
Nasional Kompas.com,Presiden ACT Ibnu Khajar Diperiksa Bareskrim Terkait Dugaan Penyelewengan Dana - Kompas.com,4 jam lalu,https://news.google.com/articles/CBMifmh0dHBzOi8vbmFzaW9uYWwua29tcGFzLmNvbS9yZWFkLzIwMjIvMDcvMTEvMTMyMjQ5MjEvcHJlc2lkZW4tYWN0LWlibnUta2hhamFyLWRpcGVyaWtzYS1iYXJlc2tyaW0tdGVya2FpdC1kdWdhYW4tcGVueWVsZXdlbmdhbtIBggFodHRwczovL2FtcC5rb21wYXMuY29tL25hc2lvbmFsL3JlYWQvMjAyMi8wNy8xMS8xMzIyNDkyMS9wcmVzaWRlbi1hY3QtaWJudS1raGFqYXItZGlwZXJpa3NhLWJhcmVza3JpbS10ZXJrYWl0LWR1Z2Fhbi1wZW55ZWxld2VuZ2Fu?hl=id&gl=ID&ceid=ID%3Aid
